id,name,open,labeled,commented,closed
I_kwDOMqJZbM6arO8R,https://github.com/obsidianmd/obsidian-clipper/issues/95,2024-10-17T15:07:44Z,,2024-10-18T17:30:35Z,2024-11-14T22:13:07Z
I_kwDOMqJZbM6avSzP,https://github.com/obsidianmd/obsidian-clipper/issues/96,2024-10-18T00:40:56Z,,,2024-10-18T17:29:14Z
I_kwDOMqJZbM6a1rB2,https://github.com/obsidianmd/obsidian-clipper/issues/97,2024-10-18T14:54:45Z,,,
I_kwDOMqJZbM6a2Xz1,https://github.com/obsidianmd/obsidian-clipper/issues/98,2024-10-18T16:28:48Z,,2024-10-18T17:06:39Z,2024-10-18T17:06:45Z
I_kwDOMqJZbM6a605V,https://github.com/obsidianmd/obsidian-clipper/issues/99,2024-10-19T12:19:09Z,,2024-10-19T19:19:10Z,2024-10-19T19:19:14Z
I_kwDOMqJZbM6bHBLT,https://github.com/obsidianmd/obsidian-clipper/issues/100,2024-10-21T11:50:48Z,,2024-10-21T20:22:50Z,2024-11-11T20:55:23Z
I_kwDOMqJZbM6bf8uq,https://github.com/obsidianmd/obsidian-clipper/issues/101,2024-10-23T14:34:07Z,,2024-10-23T22:51:52Z,2024-10-23T22:51:52Z
I_kwDOMqJZbM6bp1TG,https://github.com/obsidianmd/obsidian-clipper/issues/102,2024-10-24T12:29:08Z,2024-11-12T15:21:53Z,,
I_kwDOMqJZbM6bvh4P,https://github.com/obsidianmd/obsidian-clipper/issues/103,2024-10-25T02:38:52Z,,2024-10-25T03:53:12Z,2024-10-25T03:53:15Z
I_kwDOMqJZbM6bxX-s,https://github.com/obsidianmd/obsidian-clipper/issues/104,2024-10-25T08:13:29Z,,2024-10-25T08:36:52Z,2024-10-27T00:30:03Z
I_kwDOMqJZbM6bz5kl,https://github.com/obsidianmd/obsidian-clipper/issues/105,2024-10-25T13:11:15Z,,2024-11-05T08:39:53Z,2024-11-11T20:55:39Z
I_kwDOMqJZbM6cB0VJ,https://github.com/obsidianmd/obsidian-clipper/issues/106,2024-10-28T08:48:18Z,2024-11-10T19:51:06Z,2024-11-10T19:50:59Z,2024-11-10T19:50:59Z
